Latitude,Longitude,Type
-35.351295,149.185016,5
-35.337882,149.190497,5
-35.373423,149.270801,5
-35.329385,149.281216,5
-35.364483,149.228868,5
-35.391522,149.18529,5
-35.384596,149.171586,5
-35.348836,149.186112,5
-35.344365,149.250246,5
-35.398225,149.225853,5
-35.2821,150.47234,5
-35.276767,150.458867,5
-35.308869,150.447843,5
-35.312756,150.465399,5
-35.290987,150.479689,5
-35.307425,150.472067,5
-35.319307,150.470707,5
-35.323194,150.482002,5
-35.324304,150.485404,5
-35.32336,150.443216,5
-35.319668,150.443046,5
-35.319835,150.445989,5
-35.363767,150.47352,5
-35.368517,150.463592,5
-35.35146,150.478021,5
-35.350705,150.465148,5
-35.344307,150.463692,5
-35.356049,150.466637,5
-35.372817,150.467627,5
-35.330828,150.467286,5
-35.725593,150.172004,5
-35.762021,150.15129,5
-35.677933,150.20883,5
-35.892181,150.14496,5
-35.845087,149.985863,5
-35.758285,150.172292,5
-35.765756,150.203939,5
-35.740073,150.135466,5
-35.724192,150.174306,5
-35.742408,150.210268,5
-36.748671,149.979515,5
-36.709647,149.976312,5
-36.801014,149.814224,5
-36.850246,149.82896,5
-36.87895,149.870603,5
-36.828198,149.688014,5
-36.665979,149.826397,5
-36.709134,149.976312,5
-36.782031,149.654059,5
-36.747131,149.666231,5
-36.720946,149.705312,5
-36.70862,149.690576,5
-36.705025,149.73286,5
-36.705538,149.794364,5
-36.697834,149.861633,5
-36.66084,149.860672,5
-36.659041,149.911925,5
-36.692251,149.920289,5
-36.725751,149.91192,5
-36.718077,149.895367,5
-36.228211,149.142723,5
-36.201119,149.189734,5
-36.181848,149.300918,5
-36.31845,149.188242,5
-36.248073,149.043478,5
-36.186064,149.27704,5
-36.327468,149.07258,5
-36.343097,149.204658,5
-36.261912,149.24943,5
-36.245064,149.053179,5
-35.121441,147.33714,5
-35.122533,147.400355,5
-35.153818,147.486433,5
-35.053077,147.200703,5
-35.053077,147.403942,5
-35.257364,147.310691,5
-35.184114,147.393182,5
-35.155773,147.482846,5
-35.168479,147.189944,5
-35.074116,147.414701,5
-35.283639,147.722167,5
-35.303642,147.731133,5
-35.327299,147.789116,5
-35.319739,147.654022,5
-35.267291,147.697957,5
-35.268694,147.739726,5
-35.273239,147.742976,5
-35.276578,147.741911,5
-35.281171,147.743079,5
-35.282029,147.739613,5
-34.760739,146.52055,5
-34.774455,146.551606,5
-34.746404,146.558201,5
-34.746061,146.564713,5
-34.74366,146.561039,5
-34.709775,146.518249,5
-34.689157,146.524891,5
-34.676735,146.531071,5
-34.769855,146.458287,5
-34.771758,146.496481,5
-31.97219,141.47073,5
-32.39314,142.4206,5
-33.44435,142.59922,5
-34.20289,142.14327,5
-34.16807,142.06671,5
-34.23559,142.16862,5
-34.58585,142.7619,5
-34.70954,142.73597,5
-34.64772,142.85004,5
-34.75216,142.81634,5
-34.63777,143.57326,5
-34.74278,143.75179,5
-34.48906,144.83197,5
-33.97649,145.70715,5
-34.09711,145.80878,5
-33.83059,145.6275,5
-34.28945,146.02872,5
-34.33142,146.0452,5
-34.29739,146.07816,5
-34.252,146.09121,5
-34.74851,146.55311,5
-34.87661,146.41771,5
-35.22106,146.71602,5
-35.21831,146.70593,5
-35.2214,146.7261,5
-35.27322,146.83747,5
-35.34244,146.61291,5
-35.10967,146.60469,5
-35.51839,147.03201,5
-35.38852,147.06786,5
-35.66722,147.03672,5
-35.55985,147.22918,5
-35.65572,147.12729,5
-35.62582,147.4704,5
-35.72009,147.32164,5
-35.83184,147.23862,5
-35.79512,147.15748,5
-35.28679,147.72409,5
-35.40068,147.82692,5
-35.31605,147.53918,5
-35.07692,148.09752,5
-35.08841,148.20657,5
-35.19691,148.13489,5
-35.19654,148.134,5
-34.31564,148.30329,5
-34.29295,148.22501,5
-33.83347,148.68554,5
-33.67934,148.6155,5
-33.94292,148.59353,5
-31.27984,149.29831,5
-31.38971,149.36227,5
-30.98165,150.2509,5
-30.80829,150.27122,5
-31.09457,150.92642,5
-31.1124,150.92127,5
-31.06586,150.90463,5
-30.50389,151.64674,5
-29.73954,151.73293,5
-29.82464,151.74003,5
-29.82782,151.64827,5
-29.77621,151.89709,5
-29.5803,151.67041,5
-28.80946,153.28626,5
-28.82195,153.29278,5
-28.87449,153.25461,5
-28.80145,153.59007,5
-28.84447,153.59763,5
-28.86401,153.56364,5
-28.68677,153.60689,5
-28.64248,153.61033,5
-28.17841,153.53605,5
-28.25509,153.57527,5
-31.45601,152.89747,5
-31.40211,152.90331,5
-31.398,152.85559,5
-31.46304,152.8216,5
-31.88924,152.44515,5
-31.89973,152.51107,5
-31.93965,152.46793,5
-31.93796,152.41351,5
-32.26372,150.88861,5
-32.29656,150.80603,5
-32.34102,150.80358,5
-32.34153,150.80542,5
-32.31078,150.73996,5
-32.20317,150.7525,5
-32.20791,150.98846,5
-32.54188,151.17189,5
-32.56823,151.17833,5
-32.5903,151.14614,5
-32.60501,151.20015,5
-32.65658,151.3615,5
-32.67975,151.34949,5
-32.68269,151.39222,5
-32.59463,151.36086,5
-32.67593,151.6084,5
-32.63344,151.59226,5
-32.63315,151.62522,5
-32.6794,151.56102,5
-32.69556,151.69546,5
-36.857962,149.835194,5
-36.957449,149.866204,5
-36.908406,149.874881,5
-36.83329,149.92604,5
-36.829974,149.900104,5
-36.553748,149.814011,5
-36.373765,148.675972,5
-36.242882,149.136219,5
-35.741291,150.163326,5
-35.68711,150.200724,5
-35.682226,150.179174,5
-35.378099,150.45848,5
-35.341034,150.462835,5
-34.904583,150.603175,5
-34.89612,150.589881,5
-34.889353,150.617515,5
-34.853596,150.597811,5
-34.859131,150.585689,5
-34.855193,150.608695,5
-34.868501,150.61557,5
-34.659763,150.85248,5
-34.663042,150.83993,5
-34.649666,150.786605,5
-34.643771,150.763597,5
-34.633547,150.771061,5
-34.518324,150.403464,5
-34.448235,150.45443,5
-34.439694,150.417864,5
-34.418583,150.491832,5
-34.404166,150.505397,5
-34.364503,150.541057,5
-34.313807,150.582184,5
-34.224043,150.671539,5
-34.192772,150.644076,5
-34.169765,150.611488,5
-34.153389,150.553867,5
-34.109171,150.560816,5
-34.076571,150.56776,5
-34.06088,150.594807,5
-34.153278,150.658415,5
-34.16727,150.737139,5
-34.187309,150.790985,5
-34.199757,150.757614,5
-33.506553,150.123177,5
-33.481605,150.137219,5
-33.458799,150.119732,5
-33.41989,149.614511,5
-33.418247,149.561561,5
-33.257516,149.084191,5
-33.297179,149.118667,5
-33.231263,148.842885,5
-33.036632,148.865221,5
-33.803378,148.696207,5
-33.862277,148.672236,5
-33.778688,148.714781,5
-34.314116,148.344783,5
-34.818006,148.901989,5
-34.839967,148.909806,5
-34.815733,148.937996,5
-35.323551,149.148092,5
-35.259718,149.105141,5
-35.091878,148.092035,5
-35.048753,148.086243,5
-35.088243,148.136399,5
-35.243981,147.765417,5
-35.070709,147.37984,5
-35.719878,147.294123,5
-35.655804,147.041229,5
-36.075454,146.882994,5
-36.074787,146.92591,5
-36.040747,146.974497,5
-36.063927,146.974593,5
-36.090752,146.925016,5
-36.062122,144.696648,5
-36.106179,144.772772,5
-35.496687,144.993646,5
-35.554453,144.910553,5
-35.572095,144.949207,5
-34.295644,146.021588,5
-34.293212,146.069981,5
-34.210697,142.164681,5
-34.211604,142.101745,5
-34.169769,142.132636,5
-29.742107,151.093897,5
-29.757299,151.132607,5
-29.791196,151.120305,5
-29.758285,151.103517,5
-29.921528,149.790697,5
-29.911207,149.791174,5
-29.460906,149.830118,5
-29.451577,149.852558,5
-29.478427,149.852484,5
-28.144862,153.477628,5
-28.176871,153.528894,5
-28.191945,153.540572,5
-28.237614,153.561853,5
-28.262766,153.570827,5
-28.33366,153.570229,5
-28.340455,153.565917,5
-28.637113,153.592305,5
